BATCH 24 - 28 (SEM 5) - Sprint 1,,,,,,
Date,Subject,Mode of Exam,Time Slot ,Roll Number,No. of Students,Class Details
07/10/2026,Cross Platform App Development,Theory ,10:00 AM - 10:30 AM,150096724001 to 150096724026,18,
,,Theory ,10:00 AM - 10:30 AM,150096724027 to 150096724056,19,
,,Theory ,10:00 AM - 10:30 AM,150096724057 to 150096724077,19,
,,Theory ,10:00 AM - 10:30 AM,150096724078 to 150096724097,20,
,,Theory ,10:00 AM - 10:30 AM,150096724098 to 150096724116,18,
,,Theory ,10:00 AM - 10:30 AM,"150096724117 to 150096724136, 150096725210",19,
,,Theory ,10:00 AM - 10:30 AM,"150096724137 to 150096724158, 150096725158",21,
,,Theory ,10:00 AM - 10:30 AM,"150096724159 to 150096724183, 150096725163",20,
,Machine Learning Fundamentals,Theory ,11:30 AM - 12:00PM,150096724001 to 150096724026,18,
,,Theory ,11:30 AM - 12:00PM,150096724027 to 150096724056,19,
,,Theory ,11:30 AM - 12:00PM,150096724057 to 150096724077,19,
,,Theory ,11:30 AM - 12:00PM,150096724078 to 150096724097,20,
,,Theory ,11:30 AM - 12:00PM,150096724098 to 150096724116,18,
,,Theory ,11:30 AM - 12:00PM,"150096724117 to 150096724136, 150096725210",19,
,,Theory ,11:30 AM - 12:00PM,"150096724137 to 150096724158, 150096725158",21,
,,Theory ,11:30 AM - 12:00PM,"150096724159 to 150096724183, 150096725163",20,
Date,Subject,Mode of Exam,Time Slot ,Roll Number,,
8/10/2026,Software Engineering & Project Management,Theory ,10:00 AM - 10:30 AM,150096724001 to 150096724026,18,
,,Theory ,10:00 AM - 10:30 AM,150096724027 to 150096724056,19,
,,Theory ,10:00 AM - 10:30 AM,150096724057 to 150096724077,19,
,,Theory ,10:00 AM - 10:30 AM,150096724078 to 150096724097,20,
,,Theory ,10:00 AM - 10:30 AM,150096724098 to 150096724116,18,
,,Theory ,10:00 AM - 10:30 AM,"150096724117 to 150096724136, 150096725210",19,
,,Theory ,10:00 AM - 10:30 AM,"150096724137 to 150096724158, 150096725158",21,
,,Theory ,10:00 AM - 10:30 AM,"150096724159 to 150096724183, 150096725163",20,
